Name of file,Indendation,Indendation Consistent?,Whitespace around code to improve readability?,Used == instead of equals,Single/Nondescriptive variable names,Comments,Empty Catch Block,Generic Exceptions,Explicit Initialization,Method Length,Magic Numbers,# of magic numbers,Line Length,Boolean Exp Complexity,"FINAL CODE QUALITY METRIC (Good, Very Good, Decent, Bad, Very Bad)"
DeleteContentsGood.java,2,Yes,Yes,N/A,0,2,N/A,N/A,Yes,11,No,0,58,1,Good
DeleteContentsBad.java,2,Yes,Yes,N/A,3,2,N/A,N/A,Yes,11,No,0,58,1,Bad
GoodSlidingContainer.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,55,No,0,50,2,Good
BadSlidingContainer.java,4,Yes,Yes,N/A,10,0,N/A,N/A,Yes,55,No,0,50,2,Bad
GoodExpandablePager.java,6,Yes,Yes,N/A,0,0,N/A,N/A,Yes,12,No,0,91,1,Good
BadExpandablePager.java,6,No,Yes,N/A,3,0,N/A,N/A,Yes,12,No,0,91,1,Bad
GoodNodeFlow.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,11,No,0,30,1,Good
BadNodeFlow.java,4,Yes,Yes,N/A,2,0,N/A,N/A,Yes,11,No,0,30,1,Bad
GoodMainActivity.java,8,Yes,Yes,N/A,0,0,N/A,N/A,Yes,6,No,0,67,N/A,Good
BadMainActivity.java,0,No,No,N/A,0,0,N/A,N/A,Yes,2,No,0,201,N/A,Bad
GoodStopDraw.java,8,Yes,Yes,N/A,0,0,N/A,N/A,Yes,15,No,0,50,2,Good
BadStopDraw.java,8,No,Yes,N/A,2,2,N/A,N/A,Yes,15,No,0,50,2,Bad
GoodFPS.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,9,No,0,65,1,Good
BadFPS.java,4,Yes,Yes,N/A,2,0,N/A,N/A,Yes,9,Yes,2,65,1,Bad
GoodDraw.java,6,Yes,Yes,N/A,0,0,N/A,N/A,Yes,6,No,0,43,2,Good
BadDraw.java,6,Yes,Yes,N/A,0,0,N/A,N/A,Yes,1,No,0,165,2,Bad
GoodLockCanvas.java,4,Yes,Yes,N/A,0,0,No,No,Yes,17,No,1,68,3,Good
BadLockCanvas.java,4,Yes,Yes,N/A,4,0,No,No,Yes,17,No,1,68,3,Bad
GoodSliderMode.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,14,No,0,43,1,Good
BadSliderMode.java,4,No,Yes,N/A,3,0,N/A,N/A,Yes,14,No,0,43,1,Bad
GoodNotifySlide.java,4,Yes,Yes,N/A,0,2,N/A,N/A,Yes,15,No,0,90,2,Good
BadNotifySlide.java,4,Yes,Yes,N/A,3,2,N/A,N/A,Yes,15,No,0,90,2,Bad
GoodInitialize.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,46,No,0,140,1,Good
BadInitialize.java,4,No,Yes,N/A,3,0,N/A,N/A,Yes,46,No,0,140,1,Bad
WorseInitialize.java,4,No,Yes,N/A,3,0,N/A,N/A,Yes,46,Yes,2,140,1,Bad
GoodDrawCanvas.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,21,No,0,55,2,Good
BadDrawCanvas.java,4,No,Yes,N/A,4,0,N/A,N/A,Yes,21,No,0,55,2,Bad
GoodDrawImage.java,6,Yes,Yes,N/A,0,0,N/A,N/A,Yes,50,No,0,60,1,Good
BadDrawImage.java,6,Yes,Yes,N/A,4,0,N/A,N/A,Yes,50,No,0,60,1,Bad
GoodJuggle.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,45,No,0,60,1,Good
BadJuggle.java,4,No,Yes,N/A,2,2,N/A,N/A,Yes,45,No,0,60,1,Bad
GoodRun.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,11,No,0,49,2,Good
BadRun.java,4,No,No,N/A,2,0,N/A,N/A,Yes,11,No,0,49,2,Bad
GoodStart.java,4,Yes,Yes,N/A,0,2,N/A,N/A,Yes,4,No,0,52,1,Good
BadStart.java,4,Yes,No,N/A,2,2,N/A,N/A,Yes,4,No,0,52,1,Bad
GoodClear.java,2,Yes,Yes,N/A,0,2,N/A,N/A,Yes,6,No,0,49,2,Good
BadClear.java,2,No,No,N/A,0,2,N/A,N/A,Yes,6,No,0,49,2,Bad
WorseClear.java,2,No,No,N/A,1,2,N/A,N/A,Yes,6,Yes,1,49,1,Bad
Goodis3rd.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,7,No,0,72,1,Good
Badis3rd.java,4,No,No,N/A,1,0,N/A,N/A,Yes,7,No,0,72,2,Bad
GoodCrawler.java,4,Yes,Yes,N/A,0,4,N/A,N/A,Yes,31,No,0,74,2,Good
BadCrawler.java,4,No,No,N/A,0,4,N/A,N/A,Yes,31,No,0,74,2,Bad
WorseCrawler.java,4,No,No,N/A,4,2,N/A,N/A,Yes,31,No,0,74,2,Bad
GoodDispatcher.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,18,No,0,54,1,Good
BadDispatcher.java,2,Yes,No,N/A,0,0,N/A,N/A,Yes,18,No,0,161,1,Bad
WorseDispatcher.java,2,Yes,No,N/A,5,0,N/A,N/A,Yes,18,No,0,161,1,Bad
GoodConverter.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,5,No,0,73,1,Good
BadConverter.java,2,No,Yes,N/A,3,1,N/A,N/A,Yes,5,No,0,73,1,Good
GoodWifi.java,2,Yes,Yes,N/A,0,0,N/A,N/A,Yes,7,No,0,65,2,Good
MockServer.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,27,No,0,64,N/A,Good
SetAdapter.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,9,No,0,90,1,Good
GoodToggleContent.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,19,No,0,126,2,Good
BadToggleContent.java,4,No,Yes,N/A,3,0,N/A,N/A,Yes,19,No,0,126,2,Bad
GoodErrorCalling.java,4,Yes,Yes,N/A,0,0,N/A,N/A,Yes,21,No,0,84,2,Good
